,length,num_tokens,num_sentences,avg_sent_len,num_exclm_mark,ratio_q
156,0.017821603039623667,0.016483516483516484,0.015706806282722512,0.0860655737704918,0.0,0.0
158,0.025330197213678306,0.025474525474525476,0.0,0.51183970856102,0.0,0.0
159,0.09037452505880224,0.11138861138861139,0.2198952879581152,0.03702291693141865,0.12195121951219512,0.0
160,0.15749954767504976,0.15334665334665334,0.19895287958115182,0.07603568259305965,0.07317073170731707,0.0
161,0.016826488149086303,0.015484515484515484,0.010471204188481676,0.10989678202792957,0.0,0.0
162,0.0033472046318074903,0.0024975024975024975,0.0,0.0692167577413479,0.0,0.0
163,0.011398588746155238,0.01048951048951049,0.015706806282722512,0.05373406193078324,0.0,0.0
164,0.04541342500452325,0.04795204795204795,0.010471204188481676,0.3017607771706132,0.0,0.0
166,0.020354622760991495,0.01998001998001998,0.015706806282722512,0.09881602914389799,0.0,0.0
167,0.0499366745069658,0.05344655344655345,0.015706806282722512,0.24772313296903462,0.0,0.43777564717162026
168,0.002894879681563235,0.0024975024975024975,0.0,0.060109289617486336,0.0,0.0
169,0.27030939026596706,0.25824175824175827,0.19895287958115182,0.1342767736210359,0.04878048780487805,0.0
170,0.007599059164103492,0.008491508491508492,0.0,0.15482695810564662,0.024390243902439025,0.0
171,0.033291116337977204,0.029970029970029972,0.03664921465968586,0.07923497267759563,0.0,0.0
172,0.09109824497919305,0.08941058941058941,0.08900523560209424,0.09684274438372799,0.12195121951219512,0.0
174,0.03537181110910078,0.033466533466533464,0.02617801047120419,0.11445051608986034,0.04878048780487805,0.0
175,0.008865569024787407,0.006993006993006993,0.0,0.18032786885245902,0.0,0.0
176,0.025239732223629456,0.024475524475524476,0.010471204188481676,0.16636308439587127,0.0,0.40859060402684566
177,0.013750678487425366,0.012487512487512488,0.010471204188481676,0.08925318761384335,0.0,0.0
178,0.002171159761172426,0.0024975024975024975,0.0,0.04553734061930783,0.0,0.0
179,0.06712502261624752,0.07242757242757243,0.010471204188481676,0.4474802671523983,0.04878048780487805,0.0
180,0.008503709064592004,0.007992007992007992,0.015706806282722512,0.039162112932604735,0.0,0.0
181,0.02487787226343405,0.025974025974025976,0.015706806282722512,0.12158469945355191,0.024390243902439025,0.0
182,0.06395874796453772,0.06243756243756244,0.07853403141361257,0.07547814207650273,0.0,0.0
183,0.003528134611905193,0.0024975024975024975,0.0,0.07285974499089254,0.0,0.0
184,0.024335082323140945,0.024975024975024976,0.02617801047120419,0.07741347905282331,0.07317073170731707,0.3404921700223713
185,0.0032567396417586395,0.0034965034965034965,0.010471204188481676,0.018822100789313904,0.0,0.0
186,0.023430432422652435,0.023976023976023976,0.015706806282722512,0.11429872495446267,0.0,0.0
187,0.05237922923828479,0.05444555444555445,0.005235602094240838,0.5255009107468124,0.0,0.0
189,0.006694409263614981,0.006993006993006993,0.015706806282722512,0.030054644808743168,0.0,0.0
191,0.015921838248597792,0.016983016983016984,0.010471204188481676,0.10382513661202186,0.0,0.0
192,0.0493938845666727,0.05344655344655345,0.02617801047120419,0.16150576806314512,0.024390243902439025,0.14592521572387343
